# Coordinates: chapter number (1-based) . paragraph index (0-based), in the pinned input.
# Chapters not listed map by identity (same chapter, same index, same text).
# merge-tail offset = UTF-16 code units to ADD to any character offset in the old tail paragraph
# (= UTF-16 length of the old head paragraph + 1 for the joining space). It differs per edition.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en
15	5	15	5	keep	0	0
15	6	15	6	keep	0	0
15	7	15	7	keep	0	0
15	8	15	8	keep	0	0
15	9	15	9	keep	0	0
15	10	15	10	keep	0	0
15	11	15	11	keep	0	0
15	12	15	12	keep	0	0
15	13	15	13	keep	0	0
15	14	15	14	keep	0	0
15	15	15	15	keep	0	0
15	16	15	16	keep	0	0
15	17	15	17	keep	0	0
15	18	15	18	keep	0	0
15	19	15	19	keep	0	0
15	20	15	20	keep	0	0
15	21	15	21	keep	0	0
15	22	15	22	keep	0	0
15	23	15	23	keep	0	0
15	24	15	24	keep	0	0
15	25	15	25	keep	0	0
15	26	15	26	keep	0	0
15	27	15	27	keep	0	0
15	28	15	28	keep	0	0
15	29	15	29	keep	0	0
15	30	15	30	keep	0	0
15	31	15	31	keep	0	0
15	32	15	32	keep	0	0
15	33	15	33	keep	0	0
15	34	15	34	keep	0	0
15	35	15	35	keep	0	0
15	36	15	36	keep	0	0
15	37	15	37	keep	0	0
15	38	15	38	keep	0	0
15	39	15	39	keep	0	0
15	40	15	40	keep	0	0
15	41	15	41	keep	0	0
15	42	15	42	keep	0	0
15	43	15	43	keep	0	0
15	44	15	44	keep	0	0
15	45			delete		
15	46	15	45	renumber	0	0
15	47	15	46	renumber	0	0
15	48	15	47	renumber	0	0
15	49	15	48	renumber	0	0
15	50	15	49	renumber	0	0
15	51	15	50	renumber	0	0
15	52	15	51	renumber	0	0
15	53	15	52	renumber	0	0
15	54	15	53	renumber	0	0
15	55	15	54	renumber	0	0
15	56	15	55	renumber	0	0
15	57	15	56	renumber	0	0
15	58	15	57	renumber	0	0
15	59	15	58	renumber	0	0
15	60	15	59	renumber	0	0
15	61	15	60	renumber	0	0
15	62	15	61	renumber	0	0
15	63	15	62	renumber	0	0
15	64	15	63	renumber	0	0
15	65	15	64	renumber	0	0
15	66	15	65	renumber	0	0
15	67	15	66	renumber	0	0
15	68	15	67	renumber	0	0
15	69	15	68	renumber	0	0
15	70	15	69	renumber	0	0
15	71	15	70	renumber	0	0
15	72	15	71	renumber	0	0
15	73	15	72	renumber	0	0
15	74	15	73	renumber	0	0
15	75	15	74	renumber	0	0
15	76	15	75	renumber	0	0
15	77	15	76	renumber	0	0
18	0	18	0	keep	0	0
18	1	18	1	keep	0	0
18	2	18	2	keep	0	0
18	3	18	3	keep	0	0
18	4	18	4	keep	0	0
18	5	18	5	keep	0	0
18	6	18	6	keep	0	0
18	7	18	7	keep	0	0
18	8	18	8	keep	0	0
18	9	18	9	keep	0	0
18	10	18	10	keep	0	0
18	11	18	11	keep	0	0
18	12	18	12	keep	0	0
18	13	18	13	keep	0	0
18	14	18	14	keep	0	0
18	15	18	15	keep	0	0
18	16	18	16	keep	0	0
18	17	18	17	keep	0	0
18	18	18	18	keep	0	0
18	19	18	19	keep	0	0
18	20	18	20	keep	0	0
18	21	18	21	keep	0	0
18	22	18	22	keep	0	0
18	23	18	23	keep	0	0
18	24	18	24	keep	0	0
18	25	18	25	keep	0	0
18	26	18	26	keep	0	0
18	27	18	27	keep	0	0
18	28	18	28	keep	0	0
18	29	18	29	keep	0	0
18	30	18	30	keep	0	0
18	31	18	31	keep	0	0
18	32	18	32	keep	0	0
18	33	18	33	keep	0	0
18	34	18	34	keep	0	0
18	35	18	35	keep	0	0
18	36	18	36	keep	0	0
18	37	18	37	keep	0	0
18	38	18	38	keep	0	0
18	39	18	39	keep	0	0
18	40	18	40	keep	0	0
18	41	18	41	keep	0	0
18	42	18	42	keep	0	0
18	43	18	43	keep	0	0
18	44	18	44	keep	0	0
18	45	18	45	keep	0	0
18	46	18	46	keep	0	0
18	47	18	47	keep	0	0
18	48	18	48	keep	0	0
18	49	18	49	keep	0	0
18	50	18	50	keep	0	0
18	51	18	51	keep	0	0
18	52	18	52	keep	0	0
18	53	18	53	keep	0	0
18	54	18	54	keep	0	0
18	55	18	55	keep	0	0
18	56	18	56	keep	0	0
18	57	18	57	keep	0	0
18	58	18	58	keep	0	0
18	59	18	59	keep	0	0
18	60	18	60	keep	0	0
18	61	18	61	keep	0	0
18	62	18	62	keep	0	0
18	63	18	63	keep	0	0
18	64	18	64	keep	0	0
18	65	18	65	keep	0	0
18	66	18	66	keep	0	0
18	67	18	67	keep	0	0
18	68	18	68	keep	0	0
18	69	18	69	keep	0	0
18	70	18	70	keep	0	0
18	71	18	71	keep	0	0
18	72	18	72	keep	0	0
18	73	18	73	keep	0	0
18	74	18	74	keep	0	0
18	75	18	75	keep	0	0
18	76	18	76	keep	0	0
18	77	18	77	keep	0	0
18	78	18	78	keep	0	0
18	79	18	79	keep	0	0
18	80	18	80	keep	0	0
