# Symposium live -> final paragraph map (composed: completeness repair + accessibility pass). Coordinates chapter.index (index 0-based).
# Old = live main 693121e30cde6aeabc2b0682f61b51aa8683735d (original-en e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# New = original-en 3521a12d5d5acd6d4ac83f53747192c5ae592f7bf5e965c9c9bff881965495a6 (completeness candidate; unchanged by the accessibility pass) and modern-en a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d (accessibility candidate).
# Column names and op values follow books/wip/symposium-completeness-repair/mapping/paragraph-map.tsv (read by prepare-structural-migration.py). offset_shift_* is 0 everywhere; text changes are given as opcodes in changed-paragraph-ops-live-to-final.json.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed_original_en	text_changed_modern_en	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
1	0	1	9	renumber	0	0	none	accessibility	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	3e795cca8a79e0b0b63e33f44c5154c94ab2e1e482c2d506f62c5dc490032e09
1	1	1	10	renumber	0	0	none	none	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68
1	2	1	11	renumber	0	0	none	none	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785
1	3	1	12	renumber	0	0	none	accessibility	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	988e8727d45936625967777220e7164b4e8ba584137129f1c7f14a502b713bb0
1	4	1	13	renumber	0	0	none	none	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b
1	5	1	14	renumber	0	0	none	accessibility	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472	07a5ab707430495ac1797ae7f763fdf827a213b725052176e903c28c21f3c5a2
1	6	1	15	renumber	0	0	none	accessibility	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405	60497de28468eb3ef580b4b5553d03a61d70aa81860c8497f6aac43197fc5294
1	7	1	16	renumber	0	0	none	accessibility	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	caf770e856fb875f1c339dccc926c04d562325c63b938b0a31fbc301c2fddfae
1	8	1	17	renumber	0	0	none	accessibility	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c	55f5e2d8e1a65f9b093273fbe279b01d54305402d48d35a69ffd9cd618649616
1	9	1	18	renumber	0	0	none	accessibility	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	bd1954c72bd52df2b7e7d3b2a32ee334f86cbee62b6507753e439ae7d8f2e2f3
