# Per-paragraph hashes of candidate/symposium-modern-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
1	45	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e	5	21	baseline 1.36 (unchanged)
1	46	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214	268	1408	baseline 1.37 (unchanged)
1	47	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026	116	633	baseline 1.38 (unchanged)
1	48	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	36	191	baseline 1.39 (unchanged)
2	0	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349	69	353	baseline 2.0 (unchanged)
2	1	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074	16	96	baseline 2.1 (unchanged)
2	2	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621	21	115	baseline 2.2 (unchanged)
2	3	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	9	48	baseline 2.3 (unchanged)
2	4	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139	255	1360	baseline 2.4 (unchanged)
2	5	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028	99	522	baseline 2.5 (unchanged)
2	6	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1	236	1218	baseline 2.6 (unchanged)
2	7	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d	221	1158	baseline 2.7 (unchanged)
3	0	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8	239	1338	baseline 3.0 (unchanged)
3	1	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4	255	1372	baseline 3.1 (unchanged)
3	2	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0	183	1001	baseline 3.2 (unchanged)
3	3	800d9f905b820ef9f7509aedbfda0f81bf0b8a8636b490f908ebaab4109a6c0c	192	1103	baseline 3.3 (unchanged)
3	4	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879	183	1022	baseline 3.4 (unchanged)
3	5	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486	241	1299	baseline 3.5 (unchanged)
3	6	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656	196	1075	baseline 3.6 (unchanged)
3	7	f3cd77c227ef7c672c6845d18f7798c773ccda4863f7da335d0ba016d3a62103	151	856	baseline 3.7 (unchanged)
3	8	11ab27fbcf5a9948471d9223d3432f884273c94919398ae38e4c39bae416b52e	277	1440	baseline 3.8 (unchanged)
3	9	1ffbc0fe47225aee05ecc94424873bafb93abd8cfcb92fae400651da75a4c1c2	171	889	baseline 3.9 (unchanged)
3	10	1dd2d8d8e08db21ef8d3a086218a48079cbc69e4b538565055d8087422f457f9	79	431	baseline 3.10 (unchanged)
3	11	babf64be7300892ddbefa67bba2f578fa22d4c894b7b5ddd92e045b066d1e5ab	82	444	baseline 3.11 (unchanged)
4	0	b0aa001355c6c64aa9a33ff67c50e4842e060324305d11589aa9dfc22e8c026e	230	1217	baseline 4.0 (unchanged)
4	1	000c08186b6ab95faf17428307d82951d33a7606e784305c977daaedb7611b87	248	1344	baseline 4.1 (unchanged)
4	2	ffea78c584f8fc04ba0d5435d91a1f118053f6309d7cfa82204c90ab79931644	198	1141	baseline 4.2 (unchanged)
4	3	8ec207eed4753c872da10bf14520517a08c94ea12aad473696c7f3da3c4ed552	139	728	baseline 4.3 (unchanged)
4	4	0905bd571bcb4bd03f971ddce9d5415f653bada2dfbebfd420d4691c7cc0644a	268	1496	baseline 4.4 (unchanged)
4	5	bf8c87a38323efe1bff7f89d1824a1e0c3b973e3b6dff0605a5b98447213c803	104	568	baseline 4.5 (unchanged)
4	6	517265ec25edb42ff469b88030aef5844348f5a9db97aeeebb48eb5ccc15a1bf	45	249	baseline 4.6 (unchanged)
4	7	e14987ac00916e9b7d39a8fbde96c81aacef0f1cddea3db25d309a869710b657	41	220	baseline 4.7 (unchanged)
4	8	8938b9db0ebf67f16cd14f40a12b1ddc22bdb2ebae05ca47de69ebdda503d14e	61	297	baseline 4.8 (unchanged)
4	9	cdf0fe70aaf17e6bd2209c322d90e07f84a04e35f634491f27686d6b6db9ea29	36	184	baseline 4.9 (unchanged)
5	0	747fecb8c27ed430930e69b0c248fb3f6c1b4be584b0bc40758385e5d146672e	273	1440	baseline 5.0 (unchanged)
5	1	e9b2672047e448e5e0e07e7e0f58467886cb3d6ee2c571e936e511c448fdddc4	287	1503	baseline 5.1 (unchanged)
5	2	a0081ac32e7e75bd48ed38eeccef3956253c1b6d78c12bacc193db6cc82db719	293	1504	baseline 5.2 (unchanged)
5	3	d5ce98acc7da786fc869e7843131e75967eb8b3c26ab5dada010827aa4e7a95d	262	1398	baseline 5.3 (unchanged)
5	4	38c2e4342acd548cb39e76f4f515b1d6c312d6cc03f56514ab65f0d02d89c716	268	1375	baseline 5.4 (unchanged)
5	5	c0aa299c60607932c8be9c8e515a10240925168d931ddffe25f98bb13c5bfd83	244	1270	baseline 5.5 (unchanged)
5	6	d095e531b490b06e71e7b1647cd3b736f7db9a2f57bf7a1f10ba149f767e44a8	247	1262	baseline 5.6 (unchanged)
5	7	d5ace0843377b14d49cc89d0afbf2952a898132ec16bab7322c9faf023db355d	115	608	baseline 5.7 (unchanged)
5	8	69ba7d300fc7c1bcb1f2c211eaf9227e3ea8ad30dba97841ea341f08ec12cf0c	63	334	baseline 5.8 (unchanged)
5	9	8c8efc418122802860a3c820a3fc23128406dfc3b77f072265c0da6c7aeee445	34	173	baseline 5.9 (unchanged)
5	10	ee16b97cf215fc986e14dbd127222c774e4f04172091034a96c6b18cad2b599b	31	170	baseline 5.10 (unchanged)
5	11	93aad85dfaa3db09cc954258e1038eb943a53847c247b50b1b7895b5bfc5a350	56	338	baseline 5.11 (unchanged)
5	12	bffaafd7c2cf6e945d9912b49909447e961db613b8785313770855759db6bb54	36	177	baseline 5.12 (unchanged)
5	13	a70de116284f8a52d14b2e562f3eeb174122afeeafbffb145c161c1ae1ba2324	109	562	baseline 5.13 (unchanged)
