# Per-paragraph hashes of candidate/symposium-original-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
1	45	83d63f523043386ea031be5782efeaf1ae83049ddb869d312278c4acbda0da07	4	19	baseline 1.36 (unchanged)
1	46	a72c53f9c8159fff5572feb6a2b49afa69ae6635b8d3eff9e423d452d01ac102	266	1417	baseline 1.37 (unchanged)
1	47	fd2c80175f1a192d4c267163a6f44eae0c0add9d1e1b2606563b5146b981bde6	114	625	baseline 1.38 (unchanged)
1	48	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	36	191	baseline 1.39 (unchanged)
2	0	ed889591b2d0b2ee632dc8eae15caaa8b1adc4b965e0649bf9643e0373721b40	68	357	baseline 2.0 (unchanged)
2	1	ea28457c6fedb0c676f18cb2b7dc92e1c043518800f617f70f44f6a733b59278	16	96	baseline 2.1 (unchanged)
2	2	d2b5e08929323fbadaf06f16dcafe640769ee8328ebd82cd670d49992dd85a97	19	113	baseline 2.2 (unchanged)
2	3	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	9	48	baseline 2.3 (unchanged)
2	4	84d8aafbbcc21929ce7cb0ef1fab0373d76324aeb152b9392080f4a8db562781	260	1400	baseline 2.4 (unchanged)
2	5	18637aff838369fadc07d3e534f0bf7f029249ff98358e81a18fb3218936cbf4	98	521	baseline 2.5 (unchanged)
2	6	49cef870e4fa42ee9067cefd14eb8767d2a9b590aba4ca044e224834732933f0	231	1209	baseline 2.6 (unchanged)
2	7	92e37703d4390927abef0dea5ebb64cdf3a7c02013b2276e5710723bfcb51002	217	1162	baseline 2.7 (unchanged)
3	0	1eb1b5127a701afcf8929b75781339b27fbf0f9dc52184f2fdfffe830f8aa24f	264	1455	baseline 3.0 (unchanged)
3	1	e56d13e0fa4eaae39e1d58fb1a7c883e6b5cb96e12aa4b6510fed2e0543407ac	263	1413	baseline 3.1 (unchanged)
3	2	1f2282974a9cd60f5cd900df501e2a068de95988543ab5b23efff515897b325b	197	1065	baseline 3.2 (unchanged)
3	3	657faa15e859be0288d696d787bc372c109af0fd01a673b512d6d89099024302	196	1140	baseline 3.3 (unchanged)
3	4	9ad6b5d376529f010d979ada2dd6fca988072774e9a93e15609507e6e93b5468	202	1136	baseline 3.4 (unchanged)
3	5	4730e3ee81ab9bd4df3274ed760a1cbe42877336d9adb42ab032a0bf3501e4d9	254	1353	baseline 3.5 (unchanged)
3	6	0746568038f74814e7560254eb5dbbef8f775c440922ae549b8a2727604fe6ac	206	1131	baseline 3.6 (unchanged)
3	7	2ddd9436c32cfa8bd9fd904b3defa763147ea8154125885660cf881a624b2388	171	941	baseline 3.7 (unchanged)
3	8	a45a888f5e2992aefb12e31ed39160ff7a15cdbb11f757aa8e27fa7b92afa110	287	1491	baseline 3.8 (unchanged)
3	9	c2217739fd119f1ec850f10c7581538bbef780647bbf2cc7736bdc4aa6c0093c	181	933	baseline 3.9 (unchanged)
3	10	11de1f288e7583ed089459e764a41d3a804c629a5332fcfadaac855e08bf7fc9	85	454	baseline 3.10 (unchanged)
3	11	dede779a36052b3117607778e499c33613a9bcfd154a1c4c04cdafadbcb08930	92	469	baseline 3.11 (unchanged)
4	0	40a6687949c83ed2352a194170d94e4b819d5180402953634ef5b1a051c99c92	231	1237	baseline 4.0 (unchanged)
4	1	810608ea990f17e9fb603503e58104282792e05a4ae3954cf182259d98b7e0ea	252	1363	baseline 4.1 (unchanged)
4	2	7724e7ca0f343be574f79f51cd13dcd865533879aacb471d03372c8ed345750b	196	1147	baseline 4.2 (unchanged)
4	3	0fdf87a3d55ff327cd9bb0fefc46678c5a33c0b5ae6e96e1386cce47b6363b31	133	716	baseline 4.3 (unchanged)
4	4	ae28aa6b8d70d11374cd8474d96f33cf6e2ef07c8a38cbd0435c1b296134e9c9	263	1498	baseline 4.4 (unchanged)
4	5	820822b9acfcaa415cd38ea1e4ecd5968f8f3193b91065f125102349a4444b0a	103	565	baseline 4.5 (unchanged)
4	6	6d78e223655e903e21e334406295f4f6b50c533d8393ea0deb038389f2161ce2	44	244	baseline 4.6 (unchanged)
4	7	027757cf4f70f262525b947114e1e81dbfd678ae7a69b15ddf9a78d056704851	40	217	baseline 4.7 (unchanged)
4	8	9c84d8c05775a0438277f6d2df3372c0d91884c0a0bc0ec383f4f05ac9f8cab2	61	297	baseline 4.8 (unchanged)
4	9	26e72c4bcd4efd3884bf53cfd2062e7e151b1e7b7bc7839ca28b568590e42d48	36	182	baseline 4.9 (unchanged)
5	0	4da5420911a2ee53ff6e883e8b72008cc7e6dd08bb1fea517c4e91474045d4af	269	1433	baseline 5.0 (unchanged)
5	1	98416ba355f1fdd821b32c805fe68f823b7f70488ad030ef4623ae0016761fde	284	1503	baseline 5.1 (unchanged)
5	2	566e6851e9fd38893610cc927e5528f16acc199553713a55c69b6ace1a0deaf5	288	1499	baseline 5.2 (unchanged)
5	3	66f562e9e6eb3aff5b7d6de5c061a030b594b02a332869b6303345be289e3749	260	1386	baseline 5.3 (unchanged)
5	4	398395b1541e1a75456f5122f882e99fbe9d9c322350b84c4284cb4c70fe7923	261	1365	baseline 5.4 (unchanged)
5	5	63a9d3618e2919b871659a576b9a38a64caf7ec9766fa1620a9d3a4c859fffa0	242	1286	baseline 5.5 (unchanged)
5	6	bb69898e49844047981ed300200b03306d23f49fe8c44bb4e7e2fc3293bd52f3	241	1257	baseline 5.6 (unchanged)
5	7	ae0250d4d6f1c8fc7f287a694ca21b43bafb6f3ec773544dece83b2f0f7e4ef3	114	602	baseline 5.7 (unchanged)
5	8	16a8cdafc8084f8be24331d74a112bf326c2d7a3aca62954e5a1ba06d90b770e	63	330	baseline 5.8 (unchanged)
5	9	600e041f964f64aab1b3265013d57ccb2e9d864e9f3b9d944707592897e311eb	34	173	baseline 5.9 (unchanged)
5	10	fc5dfb888b71f3928143f431c68852621166d2c986c905dd68fddd7983a9e715	31	166	baseline 5.10 (unchanged)
5	11	2dae1112d9a9e08775e9daf229162905653d7eea1b1a0f17ea829a58d094700d	56	333	baseline 5.11 (unchanged)
5	12	eb4e78a5b5682e61603c37d57e2462e25680edb0fe2c968aefbe268940361727	36	173	baseline 5.12 (unchanged)
5	13	4b5ee1a0a87bd4759615b03ce8c264d43cdb22db33348f6ef491fe7559835d1a	106	556	baseline 5.13 (unchanged)
5	14	6faa166cbf4049efc8e624e1d3bcd8ebaf88389d8a6732c86ae1bea0964eb31d	3	18	baseline 5.14 (unchanged)
5	15	4b2930a08130770dc1c3bcf71821eff99181e4815ab2eab279be4002f984c866	21	121	baseline 5.15 (unchanged)
5	16	c1d969d5ae4bbdc9346f535d79da612131ea7b3b1e1c2ebb78240414cc9d03a3	84	428	baseline 5.16 (unchanged)
5	17	b55edd53f649d3763850bcc7e3e4dc702a88fb48c4a00c736fe3aec7e35f61f7	40	218	baseline 5.17 (unchanged)
6	0	68faf595673a04c499db0a9d7627be6d21cd7aa97e5c703712bf45837c2e55d9	270	1430	baseline 6.0 (unchanged)
6	1	5fbbc80b86b3b0c996bcbf425d225700b6fee0fea37361af77f59626cd9a296a	19	89	baseline 6.1 (unchanged)
6	2	fe7a0c434134c96f1aac5e707ab85bdf620b8ffb5d6cdde7c2feb4befe988fd7	272	1412	baseline 6.2 (unchanged)
6	3	0d4a8d4507bf74655cfeda4648cbc0c70f9c114348705208e95adf2d5ae12e44	258	1290	baseline 6.3 (unchanged)
6	4	04ebdc93bc97a8942d962cc1bc13ac7df8cd7145322a098f92665e8e245f6e59	300	1506	baseline 6.4 (unchanged)
6	5	9dfd720067ee62808fbc20cd93a4bed80c06890824ee381428f0cfc16aaf64a2	18	99	baseline 6.5 (unchanged)
6	6	6eb2ce58ae7081689245392b1edd59fe1519df43daacb273cc8b90c3a650aa4b	166	974	baseline 6.6 (unchanged)
6	7	ff70d358ceca24a69e6e3fd1b3e6598fd2bd697a57fffab632ddcf6ccfb3c73d	74	392	baseline 6.7 (unchanged)
6	8	3704c49d7ac6f55211e50581da5172143443d12fbb56cd7992e0117d07d30431	27	149	baseline 6.8 (unchanged)
6	9	c3143c23f0a5fef209de0f3e9fb164997af2839b8e021400437945824a953b00	284	1504	baseline 6.9 (unchanged)
6	10	9e38720971ccfac1899ad602823ed0f2edd99ff8e484ae28f7684ff51343fdab	205	1036	baseline 6.10 (unchanged)
6	11	7d95d765af7baca4a92fb62d3fd89d97e574c90d8a78e953d1215aa0d7f180c3	47	258	baseline 6.11 (unchanged)
6	12	45eaea0162da6691ef0fc802e1c788c331cace4743985ba0848e03859a5fa062	14	96	baseline 6.12 (unchanged)
7	0	aa8eb9bd01bb9518a68ebeec17a3ea87b295f8f735c453adb3ed7d7c2cbb0c95	134	682	baseline 7.0 (unchanged)
