coord	sha256	changed
2.5	8b15207f3891e951ec8de3a713f9f1f8eabdfdc2c601e5e6c2cc49aecc43312d	0
2.6	4f9e8ebf36aa264f252f092fbd8965425aa8a98d5535342269211d32f1d5906b	1
2.7	092a34b39e3dd43186e4db0024d5d77af6877a0c4fab56df137618acbecee7b7	0
2.8	1428fac576b3ddc444cd242b07f50c2cbb1a7dfe3f3bbceeb81ca518c0b6fa5e	1
2.9	89f13d8c91c47cbc7cb473bbb6da9c2849358732c6665cb2001b51917d4340e0	0
2.10	1ebb8229521e4f2427697cc4f4e9e973fe7c51421dc2fb608e4d1731de66af65	0
2.11	58202f8300e251faea11224e417de74c21034e192c7adf103510afed504711bc	0
2.12	33a9966519e506a88e916a7d4569075a241172829d4af5652fa331f9563d9141	0
2.13	c75e2c547ff83d89f3af75fa6dc0796b77047f8cf0268556ada47c15580e9735	0
2.14	4268b14e6a60f5a5eb54717eee41df23c50edad712b8710a156026368d7e99d6	0
2.15	1969270a41d79615b622cb7032cf92f7f998e1a449424df29083a262035b7079	1
2.16	ea25f07d67d6e715b8d968a564a95b3754afb625559dacf7b06cb32602ebdcf7	0
2.17	443e1c7f907984f00548c754f884b25a0150cc565d8addd628a7e430c80f8d9c	1
2.18	34167113b834713c3ca28a5cbc87ec6259cccae139ac58c241e144f9cd28aab8	0
2.19	caef08c5dead08f1731c2f702ccc27e2ab21e665924579433f6a6bdd2c87a305	0
2.20	82d4d8894bebcd7de03be2811a2e1e327fdd601de3b0c3f709144465ade923f6	1
2.21	197df2bfdd7ca21983d8efcc6c235319960986ffb712e5793be909d9a4881e5e	0
2.22	3f18b6e585bb7a73266f1dd849eadcd10dd15c29c318e4d91a4a067c70550652	1
2.23	54994187a28f4987a18263f084337c4b9803e8d9a2f71e742a783ea7ffcfd191	0
2.24	81ba456db048dde05d7214002e5bc915cdfbb396897f242150441f1b0ac0d049	1
2.25	2e4afe52a180e4742938e38c7f660482f0ad6c3b862c9d08f6a89eb63835a32d	0
2.26	8ab39ccf08a6c62d07ae7ee609cf3b6d41cf92ccfdc014428d4b91d0a01085f1	1
2.27	39b3001e621894e9bd0ec16ad0f6caa0ca76da82c9a929424c0dda2190c51158	1
2.28	399c1153124125c1aed31f396e0da1d3c1c423aaf7fca60805b4e8a1f4d5899d	1
2.29	876e297c0f5db50de67a43b3ac4c2fba88fe4bedfb1fcbfc9d686858ff68856e	0
2.30	54e78da71448ce392ecea87da24f42d528108feb8b69ea4d04662f222166da94	1
2.31	f1533aa3bcd7739eaba8af581b94742928c7d520e668a0ca766d9d48758bc650	0
2.32	76802b469e2ab8a8d4bec5b17427ada10e20d881dc2b9dbf96abd93e26ff1b06	0
