chapter	paragraph_index	class	review_edited	live_sha256	candidate_sha256
2	1	wording		968a67640055a01c9adfd2737eeb195dda4a09fdae7eb7a77292b5db2b3d5e53	2e8ab225479acc2d51ae7ffac00b9ab3c6c918e65d742d95cd9b30858933bde7
2	2	wording		40895e83cb210ed6ea9956ff0214b577d1b992bd2f27a6fa61165c1f22bfee61	0f956b1fddd9d11edfa69493708710564513b769d1c736261537b9e406ee2935
2	3	wording		42c2b93b794e000188e7845948f6772ea769a73ce76d2d3ffacdbe2368595627	280d76cd40476551c4b1ba6bd44a24fde71f3e87033294c45b40486d7bb629ef
2	4	wording		34dae1b820c320885bac00dd048a4a71dc249be699e212866e1d422aa8744b2a	2018fc7c1ef2359824b925cdf9f1e5ad518f83695edf18d8394674a65e1aa1d9
2	5	wording		46645b078becb35f4d0dd478f82c643eb1583927da6dab4c7fdc802e237733a9	702e668cb53971087c940e45f5408f2872a9a03c34b54d717a42c2a024232db9
2	6	wording		c68fb15c690a9a71394e7a1d8ded3869f286ee7af5842d98ad07ee4a1d486c2a	0c23b1fad7d6b5b10f3c545e286c3683ba09bd61d2e58268171d7f4366ca0914
2	7	wording		2300b14a65cdd2a586a2ba5833c8c493b23c0c9a200a20e0e297403dc90aa2be	81e2d5dc3eb35064fd8ac15c9ee48561413cada691e9e1651d2b5c4d5f449186
2	8	wording		51ac6ed1207011767e9a023dbfa9eeba6844bb98d5ce084cf7890e148aa778bd	e195c39a832568626baea5c886345aa472c4bc3b0d8da23f32fa67ab62e03541
2	9	wording		a8ef5b3e56d6a109a62cc6b5298e8d60423ff3c66d976297a8f7aa183c2f6eb0	51e083e34cddef7522db10a02947ac451dbe5bdcf0e16497006d7871b2032bee
2	10	wording		1ea2a20a4c7db1f88cd29028e44f278a94d97adeeca40f680ed90fa69925d4f3	44e7dba68076dbd9d56769b01787074283b4e2483c06a3d652a87808a2bed739
2	11	wording		db389b9777c6c08e95ca2cd2ca61c6ffb982c1c322057fb0b6d6248fe8ea0f1d	f2131fe78fc6226a58d88ac5fd139a18071a06795bdab74d7d6c6af2f0c1b243
2	12	wording		62586f56f7f1c09328db054b252a53dfd4b86b5babe51b1a54ed98a6c8e8c551	cb6ae880a0c43b99e81aff8b42fa928d64bcbfd1ea4906fbf91977150d680400
2	13	wording		8c5e98b7ae6bf0688f4e2fef90d29ceff0bf1ccf9a04005704efb89005e39bbd	d5770939bd8f139e8e211a578b5de167a7d1f31407fcc80502ea3b4d1b166b94
2	14	wording		9a03e14b708f856e66b11682e180f1aa2eab90cdf170115846948e5a8ff93903	65222868063d21c09e56df9e718c5e76576ef73963335a3a0a8e2798b1f0a226
2	15	wording		f47a17df44e7181c86a3583127a6b012e26b0dbcb807dfc306ff95f6822752ec	eb60f9921edb3101c5db3763869438dc9ffb24730871765e375bd5a94806856c
2	16	wording		a254dba661ac4d719adcf92f0e6e14706bea5c1e47d345fa7d81faf1091a3808	12db96258755307b521ab068e133d0d66cb5133b0af3725f9c7a37245042c97c
2	17	wording		26b150913001b7594180ca24d0ec03e2a90a7639260d71dfece4383b97f47c1a	7690414006a680fe5626756918f16996f4b861a4e328a869cbbaec894015f9a1
2	18	wording		b92cfe5fc96b79e3441aa03173e3a5aeaf096204bad6bbce0bee52a2dc8cdd92	1dab6ae49844978ee3b13e8c7e965f62679ce09c8338cc67af89cae7a2deb05a
2	19	wording		1a990a9a2de6aa0971e3f7239f0873d179e6aee7346e54e4fd5258070054f617	c41c799de5172d2296d45d74fb8b1b15e4f66109f38f065990bf89d02f21f0a0
2	20	wording		c9161055e570e7dabb4cd43da38ad6d7fbda6f0ed73ad3f95b69db61da57c552	a35e71b97dd8323354221d3f1ec6b2b1e3639e3e360028feee421efb325be71b
2	21	wording		2c10be238889e4f4f06d11170ebbe927db3c1f219b4ade3433ab58d94be6990f	599b42706d3da199d6fc251d2bdcc5f7b571cc884f81234ec63076c645a2c57c
2	22	wording		d7117781b7179f3e5a4b479e86f87800c0189d4fb70e54cf30b9a28e61fdf96c	88f071eea2ef142d930171081edd5dc1b174c430ada8ee1a555a6f57bc7fed98
2	23	wording		c0e7883b3c86a209dcff789392d58d207b1eab643d481318b2cbb27049c133ab	4e674e6ce7e67c6d2562de56ea9a380547d377ed8d6a0a380650398724c92d07
2	24	wording		c6707aa1ed00b593a0be6ffcfde0fdca229cdcbda6bedb77fcbadd0392b373fd	94412b29269226eaf2b29b1492a0645f9a0d65459548847d89712a8b8f48565c
2	25	wording		ab9056f066776d2ae9ce752c1bd32289121b0e31d922ee82151ec822530660e4	ec24ca63ae2356aec419154726bd2b0a8baa3ae4add682999c921199ca5a2a94
2	26	wording		7c3994dc8d792a46bdad220194234adb84544e32b1c6f193f1043df8c566a0fe	6d0e912bf1c149ab2280e5dbeb76874edbf4d3c18d97b9917065260f8ad96b41
2	27	wording		f6f709836b200bacac9521c2e71b7ecaa2afab8a859574ebffa52ce7a4f81892	71b172866ef53807cc594717f11a3ff9ed8b6d07d350d244cfd6222bc9461879
2	28	wording		bdc8b319ef7a77ce9390d1718a6aab72323997d276849081b7477befa1b0c553	7012d509523a77c832c87926b5101dcf1564080ea104a3991300af5f67919bd9
2	29	wording		6e9640ca9e5620503950d177da4d80bbb41f0d4f87a23bb292d45da0f366c8ed	6a09e69ddd48cd80fc43a4a1b6a6de7765866cb112a2231d0f1c14dbf6a501c5
2	30	wording		c2d16ce10d0fddee653bc56424af2ab2bcd2a19de8628215851e95f39ba3be98	40005228e0cca64dc62106cec700043117aa605beddf64d7fc0f4690408d6c6a
2	31	wording		a9bb1884023e7a454e0e3c6144a05e7b89e4c7b25841684467828232c1578378	824bea811527a1f26acf7047dc7ac8a72b25a42bb168a673f1ba9151332ac756
2	32	wording		5e8809b14cfb2ef4c1329ff95dd70e3751586d3ab020ffc5fdbc5c6e16ed8cbf	4689a9c34cf2876be4d4b88aab0b78ea71c4acfc264c9b0857bf273e2f25c1cc
2	33	wording		e81574330a62055a28fbac50c5619d8041fd2b7044c00926d550650edc42cb97	b4cc20a4060f9e68f9e906f717072ddbea1bdf6aafc61c9fc66aca1a336a76cf
2	34	wording		4f19260009dc52038e28f7ec743a733517d9104aa592ba7c60deb736180e28d2	51120f9105c8f252942fed31e5e4eaf25e139a212009f3c4a304bf89a9513047
3	0	wording		9255a90d377e5f8cbb8a80f67b3fb23adc4d853af507bc716bcfca8367a03387	bc490ee36742eb4052869ddddff492863a3ff65d33637a556cc17fac70480db5
3	1	wording		8306c1e79710eba3fdc15e501c1109886b5a930354b97ce47a3300baad9cfccb	28944f43592c4a6cf23172604b6a0add045efbdae0945461c9df23fe26eb8cb6
3	2	wording		88a7df1fa760d362e4f4ccc79bfae2f92d474df4612a2e772b145aa120e227a1	cf52e8f73d9487d957762514202d3952922cbe7b9bec72fb8c8696628c5c43b3
3	3	wording		5fa4e108eb533c4cf8e32cb5d7586ad2d5ab9f7d7549662d5bc8e14d16965a8b	8acfcca1962ea49fdaa510e1dea31cc40ba22f220afd99cec4a7e2883ad28cbc
3	4	wording		e24e5456628b352aa3a870de1d6e3ad486c2e8910818bda099f1b39cd7cb9519	9699182645d0baad2d9bc18b4c84499295937d692e73c6036ddc3221b9352063
3	5	wording		31a137c75aafb8467aaedbc36cb8e3d0ef99a4265275aa9783479ef2c536dac3	afb5bcdbd67979da8eb46f9a163d81b3ae586fab425873dac4c79f82cfc95001
3	6	wording		fd5999c5055ef6eeac2071de5f6482f0eb07b30fdae090aaddfb3fc1fe4a5225	89bceb1a9173488ef04d0de283fcc5d758e358a5ecc166fc77ade3dc2687df38
3	7	wording		4c818c6ef002e85da2b19b638ec7d1ef88d38cd5998db583141b84ab809100dd	3196b481afafda626ba67aa299f63d3aa2984f8f7e59b6f54ebf07aa85ee1f25
3	8	wording		d5fe903446621cec0eec8ee51f51c569c0094535795d75a5576688077a407929	0fe88fff6c5bf4b902f7616a96ce4a100638d2d96fb28bd8a5dd1f9c452d0cd1
3	9	wording		2893b6902fe58c93940d515eba77146dabcfcce3046ec6f9cc99d336a14e7d3a	a545ad72d575291f184abc32241bf106004f02df3163cfa795dac43c8a92c4ef
3	10	wording		6045d2b248ed65cb4ad93e79cce5b904f486eab84c1f99083ba01e08b4b6be49	7958c34ad9e1a6c258b2a16bafd0ef0c7d6dc3429a9c802f4d6d496eea4b5dea
3	11	wording		4a7fd544adc899ed6d19f42f06fa08376f36aaab890d4774d4699016c976161f	d621d3a2651f7c4d2a828a9d8782c27df628526318e76ba123ea64f17776a904
3	12	wording		ae55233662e3b4af825d7bcb23fcaee205a496b8e687a95873542df5a077ee42	e20a19a96f75a1502952f6ce50bcddfd75902284b47be6fc6dfd68612ead657d
3	13	wording		ad2a6984b804f259f15d654b76b0bfeec4205c301f734818281caed9a0c45cdf	ebccb1b475e52da1172737d48135d19877d32038b0cb4f004f4436e066105d82
3	14	wording		a0b17b80e913d218fe99f0acfa55eb05f9b9c6d0b8b24511dfc2a708ffcd3ab7	1616c8725e92107471787d591cbb238d004c18f0d4c59a92d423273aa48074e8
3	15	wording		35d1633070c8201d41dd3d2a2dffa75fe3ba147d8585e18266ecd3d275328a0d	53116e5e0b2308ee3bcd4acae96b495d48c185dadc0caaa247c0d19151daa702
3	16	wording		8e36e385377efbd54b72eefd95a88fc9303bf3fad40f0d711242abaa23ab5e2b	53d54c71bdc233ea2918e9a46b007e19a8b65b393cd041ec1920535eac69d8d8
3	17	wording		182851c2420f6ef7724af3c974f1c9c62c63b1d126f2e141859935d966908fd2	282de6a7ee178940d2a0c7ddcb636b27954809fd39d36b1c18fb854c497466be
3	18	wording		baf2b512a0204f20ef0abf24accdcb1263af43f74bb6accda7a8fc395dba22a4	70f57452d8d0a3ef4ecb5785cd8d7269dfe73cc8464d847cfaab57a9c4d51656
3	19	wording		81d9be65c8ec196eda6e81fc1d274b0f9e04a3dd6ed601d7d47ab4f8a16abf05	e3a4cb0dd15561318e08ea20aeb3a20961dc0116cccb80ddc709b506c59fabb8
3	20	wording		b59051f432e9983fc5cb669009baec1a842b53fb96ebcd53ad34b6c97dc99fbd	c54e1353d2fd4de5942b75181cd6b68599d610abf40e3c66bb6fde7f08c10d14
