chapter	paragraph_index	bd05_sha256	successor_sha256	edit_ids
6	20	723c7e58fa6a1bcacab47ba9be61348456f782b3db390ff7c72670ac8d53c79a	a5d399d74ef5265e2a548b1fae3f39a3112f8e89711bd60c444d457385495775	B06-03
7	6	e2ea3f79555412df08b9954ef08719ba4005c2bd57f8850297236a3b947bff69	3b15622c1d914fd76d97f231d38a99ccc7674ad8f5e8e415965fc546e08572ca	B07-01
7	7	fed026493c7644a70f2c0c453f99c9fc3b3f716f542fd37364af5c96c8b745f8	68589f91c40fe39374b768a9046d548690c5bb96ec90166d24fa761c50eec3bc	B07-02
7	12	9937a1f14aca0620d7d5942592da418d29361106650b826d49b4faecec250793	41ed19b79db35d321cb258b65eb62c4f99e7e4cef96ed86ee374003491d3d25a	B07-03
7	17	a1299a870461b9ac2eee933b6341de218e338f5ee1808ddb4681c7694cff5401	29ae6a01f84b93d845fdd73e6717d4b463574e83dae7365d5664ec41c5c2a799	B07-04
8	1	5ff69ec70b020fe6c49ae3ca47cce1ec918ca979108bee83fec7af3b206861a9	643af31693373266ffc2b86c21c221f6594194597d3b712f8e47873abe65bf18	B08-01
8	2	8351d4ee79c2f3b9937a534880a707db3db28ee64e6ee72413452fa2e261afce	39b94c7e34af4a6e80cc39c6e56a7cd29d4db978da82f8aca9f1369508d08b28	B08-02
8	3	8ab1d29437d5dcce215add1a1ea09581ee0601b8e407bf2b9fc2879e59cb8f2e	ebcad6619a8fb3e065231126779dd857d53e8c3fb5abbced904581bf3eb3e678	B08-03
8	15	19c810d2763c7c1c8a4541df177fa4dcb2df4cbf9a6b2bd6a926202ccbe3a87b	43a500820b27861c1efc7bb6e4f0e9478bee1b71558900f0e74058fe79c6a313	B08-04,B08-05
8	19	6696162ca54f357c460178bf8fd4452693b08f9de249d3b132dfc5464b77b85f	8ae85adae2bca3d75a61fb918b8814cce8bfa00b50eeaf8a987d2ddb87fbf48a	B08-06
8	20	ad35f9166fbe72d7be2ff0caed59fbf836b4e4cc9482fa26ce0a45ca5787f810	15de28fa5b4956684e18e865e17cf7c7b0ecef2a9c1e96266465bf0563c2b369	B08-07,B08-08,B08-09
8	21	b32b81ad6a102a336d2aa7f2276e171e432803da5216793711c78b3f8a312114	6e01fc89c287c02b23661f05675ce33ff399330e62acef0e17c60a2713b666d7	B08-10
8	41	4da42ca12bbff4cd3b3e4cfe0a52f655f448ee301c254304381f93651fe91e8d	f2c95fc65fe4db5c5f259d88ce453f9a2d151ea22b4036199d18e7d0dcee46ba	B08-11
9	36	2027100f13a1a3c8fd0d4e64601245a6c8465f572754ed12b0d53cad0c6e4881	8062324570a4ddc2f24cf2b74e01c7ba534dc5603e557da2445338d7af7fec6c	B09-01
9	40	43d6aa5d30232cdee100c0bfecb5b8ed1f471365a562cfa9a9494a4e06288d69	bb01fa9058bbe7a3950a3e7300b283227d2d6997133efa9e64f4b110fa73882f	FR-9.40
10	16	410bf2c0f3ff55a530c88a8469830ba58c78015cccd122f1d4801fe1dea3bd73	81d83af0a0d97687c7020f67fd4593d19c2125a474305c643724a6a0a11f5af9	B10-01
10	22	85e1142f0d1f498c2e516e4acf1c1d0b7a135da4e0830155bfc1cfd80fa5db0b	f0fe1a3f51fb231bef3d7c88474f40de0ace68af9a7946561d10db0c56e421c3	B10-02
10	24	38ad770eb72bb9e7b81915310a3d6c6a0c1c3c9000909cd6dcb4fadfad4a33fd	559ef1ef4ccd0fdfebd888c65eb0e986e5c70ccd68ac851018eea1eabfc1ac45	B10-03
12	26	0ecb70ff3b7f2888a4ff935e037221817462dd68e176eb9d7be5df01795a083f	331a88e58961fe1242c5abe2a107ab58afcfb705d0c6513ad7042daef8033f1d	CR-12.26
17	10	0c046aa971f633949e5411df2b24160ea8d0c8b28345fbc41d4a28744608f418	773b32018d6925779225c6162b127900d9531547552667a0f2f5c43500a7010a	B17-L1
23	12	b16c079bcc2ebc6b6ef33fbcb089491d152ccb0488227c951811755c89a033fb	5383c83458a1656c555e97b8890104086026f04d598050b6282f8c8c825f94eb	B23-01
23	16	d9742c218ea9b09f1ce43a9fe5006c9626c9631dfa2b6b11d0fe0055766025e4	81343263941de6366b14329ba3311448692f31b9beab65676bf0b5cd422fe065	B23-02
23	27	64b053b7d0cbf627516603433a2810aaa20457f844e82fc6ab72be6e57c4c196	e67aa492cffaa39319819aeba5e2c7d518c4671bc256329a5383f4d31472734d	B23-03,B23-04
24	10	867c0b19cde8b74937f39c93854f0d14b4a7f90e40c8a2c18d98efa45d814e7e	dd03801078689a431fcced5a497199c8d01dae0c9f5089e411a9e5bfea358b0f	B24-L1
24	14	ff37e8e63111cb25b50a370671db1db72f8afd923c89fcc58cb9baca395918f4	0daee538c100e65f11d6ca8225be793b35c89da4771f026f64e3d6ccc40380c0	B24-01
24	15	80d8dd7450f556858cfa16c4785f2d95acebb0fc088b879c2609d5235d5fca8c	28a6982f6e9e8f6c9ce65f0dbe7bd0e336fb0f7f08fe8e5e2756816c9d467c51	B24-02
24	20	b4509586b241b84df346287dd11c36099dae715d12ff9a1da7f15f70a4138080	7683d9f9831f0b48bcfc245f710048852b4d4d2e32d7cc27181563a02f761402	B24-03
24	23	f4ffd713dc95603ac50c7b9541c977f8158eb3cf646cd99ba84c64c5530fa760	e6d8109e69fc6e4f24455ebf758bfc92a5ae6d9073b08778c560475625df1369	B24-04
