# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
1.33	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570	2a27df38342277ab8b197e02d42088fdbfc101eb5fa3cde17be248cb00fbce66	yes
1.34	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f	31c41c8b41b40a7b0495bda45132acdcdccb90c3af05053bf33290cd5748a71c	yes
1.35	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea	39af697b97dac0858f0ab57b50ec16ce908e99d245606281d979da217beb7831	yes
1.36	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb	8dd101b70b45c00501325ce22aa30c10a62d6f28d220117124d15749b2639b29	yes
1.37	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6	no
1.38	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5	no
1.39	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3	no
1.40	4d55147aa53986d3571e71708bb507aefc5aec0ef9e737b7522f0cb53f12f6d1	1ea66f73a85deb84ef72803ddb776a585cbbf4d7786bf39444a2babce69c55ac	yes
1.41	51985dffb80fa32139dcad5a36b12bbab0ff3a22f002536abf651d81e1af3311	3e12e58aff214b2ff4eccf0742a515cc87e3d3e2f17f2a5ca9a4cb03ff0212f5	yes
1.42	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	no
1.43	abdd7f023e4a6671a469f3c5ec4039ad8268f7305fcad0e564cc9623b780cddb	f1923245e4d1e77e5f553b4468d05471e8ad3c9dbce0b584228374fb82238feb	yes
1.44	6f7f51bcc670b13a9409792cf552ac7addfba0ef71311113ebd0c2e08370e171	ff14c8b23e654d21b25bb69d6810ee1c42b851cc6452a9ba2f5cf41a26278871	yes
1.45	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e	69675344325073ad05fa22c217089f48b195e75c417b48bf7f27d28b7c9dfb80	yes
1.46	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214	d53b9fc636f0548a1f73e19095584796e8b9d4f2b74f829316a3621fd69cbe68	yes
1.47	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026	908bd79cc403b41dd031b006677f5e30cfd03660fc5297be892839378e844f6b	yes
1.48	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	no
2.0	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349	b029df9dafc32bf2709a77e89625d09c8acb1bca09c400d16508379cd6865eda	yes
2.1	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074	no
2.2	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621	f8f2716c44a6577aa172236144413c4f0b2224f4dd750f65b7179e005b05106d	yes
2.3	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	no
2.4	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139	01803f9c2acb656101c715309e29a48fcfca4a645017aad66ea68fdc674cc20c	yes
2.5	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028	7c92a937a5220a4867129130ddd67c446bb2b5534261cde56b25ed07c43b38f3	yes
2.6	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1	4e16d35de4d7e0f1d0f8a44c9df4919f3337a3903b7af2e1f6e8e6c15e544ed1	yes
2.7	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d	f5aac3746df98150274657c51f3fb6b60d054a6427967002a4dd56e74effc3cd	yes
3.0	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8	d324324da9107f65e0eca99cf4dc6927f281f4a4921f90579fd12b554720cbeb	yes
3.1	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4	ffe23b4f47eb6399db3018fc66fe567432a857f452b540089400dcf6ccb333d3	yes
3.2	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0	bc6a61805e9dc953ea371126111a636ef8acb98bb165c97657a095ba6d9a96eb	yes
3.3	524ce031834ba928b910f3cd910c01243e60e0ecb79ca3ad456ac532ad4313ab	157796dd7c7c71aaab89a2c95719a0f4c0354e3ec4d25973d740a39ca5ab3c89	yes
3.4	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879	no
3.5	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486	23464fab3e8f685eebcca17e87e06e3c40cf5b8ff5456b9647c04f391cc725cf	yes
3.6	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656	2fc24761a2eb77b20aba330a2620316b6df8bde6b02f6b5cc361078e835891b6	yes
3.7	aec0ca2a4734e5fefb90c83663673d0c2af82828011c8aa6957c86f28e218615	e4f5e47d82341292b5cc79635fb421db11c04cc5c97d0ac4f543edf3b582af2c	yes
3.8	0f34ee934b181dc0ca7f82568352353c1fe4dd32e954df890d80368ec570e9c3	aee8acfb0dda1be7d034aee4b12e8096cc25b3dec0f541e8979c67f63e19e79b	yes
3.9	1ffbc0fe47225aee05ecc94424873bafb93abd8cfcb92fae400651da75a4c1c2	1ffbc0fe47225aee05ecc94424873bafb93abd8cfcb92fae400651da75a4c1c2	no
3.10	1dd2d8d8e08db21ef8d3a086218a48079cbc69e4b538565055d8087422f457f9	977e948544e185ff242f5da65beaacb853b7704d956b547238574995822cd212	yes
3.11	babf64be7300892ddbefa67bba2f578fa22d4c894b7b5ddd92e045b066d1e5ab	23f74657676b1899dbb68be013d94195d3a5e56f5d7700d43690969944a8f6cd	yes
4.0	b0aa001355c6c64aa9a33ff67c50e4842e060324305d11589aa9dfc22e8c026e	39ae77caba5a83100131ca4d72fc4f645585ab5c8f2da986faf7bc12ddfa9aa0	yes
4.1	000c08186b6ab95faf17428307d82951d33a7606e784305c977daaedb7611b87	c296f4c223ac12e8f79d86af6984ffef20bb14f8931d3089362978144b9e05cf	yes
4.2	ffea78c584f8fc04ba0d5435d91a1f118053f6309d7cfa82204c90ab79931644	3264c5c63c16cb4741df7d050728e527762c29de88c22193ef810e7b933a336d	yes
